sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
314,55.9133,16.7728,5.5907
315,30.7716,9.2308,3.0768
316,24.7100,7.4125,2.4707
317,19.8182,5.9450,1.9816
318,5.8569,1.7569,0.5856
319,12.3293,3.6985,1.2328
320,33.7654,10.1289,3.3762
321,18.9250,5.6771,1.8923
322,28.8769,8.6625,2.8874
323,6.1717,1.8514,0.6171
324,6.1626,1.8487,0.6162
325,32.6109,9.7826,3.2607
326,45.9886,13.7956,4.5984
327,11.4035,3.4208,1.1402
328,26.9471,8.0835,2.6944
329,39.1362,11.7400,3.9132
330,30.6693,9.2001,3.0666
331,39.4309,11.8284,3.9427
332,44.2145,13.2634,4.4210
333,10.6909,3.2070,1.0690
334,26.0756,7.8221,2.6073
335,16.4953,4.9482,1.6494
336,6.9213,2.0762,0.6921
337,30.5260,9.1571,3.0523
338,59.4481,17.8331,5.9442
339,10.4128,3.1236,1.0412
340,32.0807,9.6235,3.2077
341,59.0542,17.7150,5.9048
342,18.0630,5.4185,1.8061
343,67.4575,20.2358,6.7450
344,13.2123,3.9634,1.3211
345,46.2059,13.8608,4.6201
346,9.5278,2.8581,0.9527
347,8.3899,2.5168,0.8389
348,51.1351,15.3394,5.1130
349,66.7198,20.0145,6.6713
350,38.3076,11.4914,3.8303
351,20.9196,6.2754,2.0917
352,24.0942,7.2277,2.4092
353,26.4141,7.9237,2.6411
354,14.6697,4.4006,1.4668
355,7.1962,2.1587,0.7195
356,48.5971,14.5781,4.8592
357,10.0270,3.0079,1.0026
358,19.3936,5.8176,1.9391
359,12.6487,3.7943,1.2647
360,11.8490,3.5544,1.1848
361,16.0584,4.8172,1.6057
362,45.8178,13.7443,4.5813
363,15.5283,4.6581,1.5527
364,22.4923,6.7472,2.2490
365,57.4350,17.2292,5.7429
366,38.4831,11.5441,3.8479
367,88.9232,26.6750,8.8914
368,25.3969,7.6185,2.5394
369,16.7694,5.0305,1.6768
370,23.3579,7.0069,2.3355
371,21.5140,6.4537,2.1512
372,51.3246,15.3963,5.1319
373,53.6254,16.0864,5.3620
374,20.4921,6.1472,2.0490
375,22.0691,6.6202,2.2067
376,12.8012,3.8401,1.2800
377,17.7707,5.3308,1.7769
378,30.5932,9.1773,3.0590
379,27.3255,8.1970,2.7323
380,18.8278,5.6479,1.8826
381,9.5801,2.8738,0.9579
382,9.2137,2.7639,0.9213
383,52.7355,15.8195,5.2730
384,20.7006,6.2097,2.0698
385,12.8802,3.8638,1.2879
386,19.0922,5.7273,1.9090
387,8.3545,2.5062,0.8354
388,7.2939,2.1880,0.7293
389,58.0282,17.4072,5.8022
390,12.6671,3.7999,1.2666
391,67.9980,20.3979,6.7991
392,48.1031,14.4299,4.8098
393,26.7827,8.0342,2.6780
394,25.6720,7.7010,2.5669
395,11.3013,3.3902,1.1300
396,10.0051,3.0013,1.0004
397,45.8391,13.7507,4.5834
398,28.8600,8.6574,2.8857
399,32.0758,9.6220,3.2072
400,16.6747,5.0020,1.6673
401,9.2515,2.7752,0.9250
402,41.6090,12.4818,4.1604
403,6.1945,1.8582,0.6194
404,47.0806,14.1232,4.7076
405,40.5992,12.1789,4.0595
406,33.8218,10.1458,3.3818
407,29.1308,8.7386,2.9128
408,6.5908,1.9771,0.6590
409,21.3524,6.4052,2.1350
410,88.4421,26.5307,8.8433
411,57.4999,17.2487,5.7494
412,26.9332,8.0794,2.6930
413,32.8140,9.8435,3.2811
414,32.8879,9.8656,3.2884
415,21.3939,6.4177,2.1392
416,12.5207,3.7559,1.2519
417,14.4881,4.3461,1.4487
418,33.6265,10.0872,3.3623
419,48.3247,14.4964,4.8320
420,10.3133,3.0938,1.0312
421,14.0426,4.2125,1.4041
422,12.4662,3.7396,1.2465
423,55.1901,16.5558,5.5184
424,45.6960,13.7078,4.5691
425,65.2487,19.5732,6.5242
426,20.4762,6.1424,2.0474
427,15.9099,4.7726,1.5908
428,18.1935,5.4577,1.8192
429,29.6396,8.8912,2.9636
430,21.8335,6.5496,2.1831
431,14.6430,4.3926,1.4641
432,9.2522,2.7754,0.9251
433,28.2023,8.4601,2.8199
434,29.2306,8.7685,2.9227
435,16.3220,4.8962,1.6320
436,54.8863,16.4647,5.4880
437,11.3116,3.3932,1.1310
438,25.4543,7.6357,2.5452
439,22.3953,6.7181,2.2393
440,9.0311,2.7091,0.9030
441,42.9420,12.8817,4.2937
442,19.7313,5.9190,1.9729
443,33.7937,10.1374,3.3790
444,33.8417,10.1518,3.3838
445,21.9043,6.5708,2.1902
446,56.2975,16.8880,5.6291
447,16.8074,5.0418,1.6806
448,34.7810,10.4335,3.4777
449,50.1514,15.0443,5.0146
450,9.8276,2.9481,0.9827
451,9.5522,2.8654,0.9551
452,41.2990,12.3888,4.1295
453,21.8831,6.5645,2.1881
454,53.5609,16.0671,5.3555
455,58.9796,17.6926,5.8973
456,38.5661,11.5690,3.8562
457,34.7561,10.4261,3.4752
458,16.1209,4.8359,1.6119
459,20.0765,6.0225,2.0074
460,28.2428,8.4722,2.8240
461,39.2367,11.7701,3.9232
462,16.1940,4.8578,1.6192
463,34.4125,10.3230,3.4409
464,10.0616,3.0183,1.0060
465,8.0008,2.4001,0.8000
466,49.0176,14.7042,4.9012
467,24.7624,7.4282,2.4760
468,81.1208,24.3345,8.1112
469,9.4429,2.8327,0.9442
470,18.3278,5.4979,1.8326
471,13.0133,3.9037,1.3012
472,33.4130,10.0232,3.3409
473,48.8819,14.6635,4.8877
474,22.0867,6.6255,2.2084
475,14.5541,4.3659,1.4552
476,16.7191,5.0154,1.6717
477,10.0059,3.0016,1.0005
478,22.4392,6.7313,2.2437
479,15.7991,4.7394,1.5797
480,45.9571,13.7861,4.5952
481,10.9667,3.2898,1.0966
482,39.1583,11.7466,3.9154
483,23.6470,7.0936,2.3644
484,28.8785,8.6629,2.8875
485,53.7027,16.1096,5.3697
486,49.6937,14.9070,4.9688
487,37.4345,11.2295,3.7431
488,24.1030,7.2304,2.4100
489,31.6915,9.5068,3.1688
490,13.5024,4.0504,1.3501
491,15.4331,4.6296,1.5431
492,15.5583,4.6672,1.5557
493,33.0517,9.9148,3.3048
494,41.5620,12.4677,4.1557
495,35.5271,10.6573,3.5523
496,21.8336,6.5496,2.1831
497,34.1579,10.2466,3.4154
498,7.8907,2.3671,0.7890
499,31.1074,9.3315,3.1104
500,22.9509,6.8848,2.2948
501,30.3241,9.0966,3.0321
502,7.0013,2.1002,0.7001
503,10.3947,3.1182,1.0394
504,42.7507,12.8243,4.2746
505,45.8524,13.7547,4.5848
506,59.9514,17.9841,5.9945
507,28.8618,8.6579,2.8859
508,35.3712,10.6106,3.5367
509,38.4696,11.5400,3.8465
510,8.8372,2.6510,0.8836
511,23.1498,6.9444,2.3147
512,8.5836,2.5749,0.8583
513,9.2563,2.7767,0.9255
514,7.0824,2.1246,0.7082
515,19.7594,5.9274,1.9757
516,16.8307,5.0488,1.6829
517,20.6633,6.1985,2.0661
518,58.0930,17.4266,5.8087
519,23.0661,6.9193,2.3064
